task_id,meta_title,meta_description,product_description,validation_error,raw_content
task-0,3M Weatherstrip Adhesive Black for Classic MOPAR Cars,High-strength 3M Weatherstrip Adhesive Black ensures a durable bond for weatherstripping on vintage MOPAR cars. Perfect for restoration projects.,"<p>Ensure your classic MOPAR car restoration project is sealed against the elements with <strong>3M Weatherstrip Adhesive Black</strong>. This high-strength adhesive offers a durable bond, specifically designed for weatherstripping applications. Perfect for owners of vintage 1928-1932 MOPAR cars and beyond, this adhesive is a must-have for your automotive restoration needs.</p>
<ul>
<li>Exclusive <strong>3M Brand Black Weatherstrip Adhesive</strong> formula.</li>
<li>Designed for a wide range of MOPAR cars, from 1928 to 1932 models and more.</li>
<li>Ensures a durable, long-lasting seal.</li>
</ul>
<p><strong>Technical Specifications:</strong></p>
<ul>
<li>SKU: A-100</li>
<li>MPN: 3M0-08011 (super) or 3m-08008</li>
<li>Product Type: Weatherstrip Adhesive Black</li>
</ul>
<p><a href='#'>Buy now</a> to protect your classic MOPAR car with the reliability of 3M!</p>",,
task-1,,,,"1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Molded Cowl Vent Gasket ...Chryslers - Perfect Fit', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long","{'meta_title': 'Molded Cowl Vent Gasket for 1936-1937 Chryslers - Perfect Fit', 'meta_description': 'Upgrade your classic Chrysler with a high-quality reproduction cowl vent gasket. Designed for a perfect fit, ensuring your vehicle stays weatherproof.', 'product_description': ""<h1>Molded Cowl Vent Gasket - High-Quality Reproduction</h1>\n<p>Preserve the integrity and originality of your vintage Chrysler with our precisely molded cowl vent gasket. This beautiful reproduction of the original Mopar number 742408 is the perfect solution to ensure your vehicle remains weatherproof and retains its classic aesthetic appeal. Crafted with attention to detail, our gasket is designed for an exact fit, mirroring the original specifications to ensure your classic car stays authentic and protected against the elements.</p>\n<ul>\n<li>Molded cowl rubber gasket, an exceptional reproduction of the original Mopar number 742408.</li>\n<li>Engineered for a perfect fit, ensuring optimal weatherstripping.</li>\n<li><strong>Note:</strong> Does not fit Airflow models, ensuring specificity for your classic Chrysler.</li>\n</ul>\n<h2>Specifications</h2>\n<ul>\n<li>SKU: A-216</li>\n<li>MPN: 40-0225-54</li>\n<li>Product Type: Cowl Vent Gasket</li>\n</ul>\n<h2>Vehicle Compatibility</h2>\n<p>Compatible with a wide range of Chrysler models from 1936 and 1937, including but not limited to Chrysler Airstream Deluxe Series C-8, Airstream Series C-7, Custom, Imperial, and Imperial Custom.</p>\n<p><strong>Call to Action:</strong> Restore your classic Chrysler to its former glory with our high-quality molded cowl vent gasket. <a href='#'>Order now</a> to ensure your vintage vehicle remains pristine and protected.</p>""}"
task-2,Premium Head Gasket for Chrysler V8 1951-54 | $55,"Seal your engine the right way with our Head Gasket for Chrysler V8 '51-'54. Durable, reliable, and priced at just $55. Perfect fit guaranteed.","<h2>Ensure Peak Engine Performance with Our Top-Quality Head Gasket</h2>
<p>Designed specifically for the 1951-54 Chrysler V8 and Imperial models, our head gasket guarantees a perfect seal to maintain your engine's integrity and performance. Priced at an affordable $55, it's the smart choice for your classic vehicle. Remember, your engine requires two, so secure your engine’s future today.</p>
<ul>
<li>Exact fit for 1951-54 Chrysler V8 and Imperial models</li>
<li>Durable construction ensures longevity and performance</li>
<li>SKU: LV8-811, MPN: 565G for easy reference</li>
<li>Engineered for reliability under high temperatures and pressures</li>
<li>Price per gasket, with each engine needing two for complete replacement</li>
</ul>
<p><strong>Technical Specifications:</strong></p>
<ul>
<li>Product Type: Head Gasket</li>
<li>SKU: LV8-811</li>
<li>MPN: 565G</li>
</ul>
<p>Compatible with a range of vehicles, including the 1951-54 Chrysler Imperial, New Yorker, and Saratoga, among others, this head gasket is your go-to solution for engine maintenance and repair.</p>
<p><a href='#' style='color: #007bff; text-decoration: none;'><strong>Buy Now</strong></a> to secure the health of your engine with a head gasket trusted by professionals.</p>",,
task-3,1955 V8 Engine Head Gasket for Plymouth & Dodge - $48.5,"Premium Head Gasket for 1955 Plymouth & Dodge V8. Perfect fit, durable design. Enhance your engine's performance. Buy now for $48.5!","<h2>Optimize Your Engine's Performance with Our Premium Head Gasket</h2>
<p>Engineered for the 1955 Plymouth and Dodge V8 models, our head gasket guarantees a perfect fit and unparalleled durability. Whether you're restoring a classic or ensuring your vehicle runs smoothly, this head gasket is the ideal choice for your engine. Priced at just $48.5, it's an investment in your vehicle's future.</p>
<ul>
<li>Designed specifically for 1955 Plymouth and Dodge V8 engines.</li>
<li>Ensures a tight seal to prevent engine leaks.</li>
<li>Each engine requires two gaskets; sold per unit.</li>
<li>Manufactured with precision for reliability and performance.</li>
</ul>
<h3>Technical Specifications</h3>
<ul>
<li>SKU: LV8-816</li>
<li>MPN: 629G</li>
<li>Product Type: Head Gasket</li>
<li>Compatibility: 1955 Plymouth Belvedere, Plaza, Savoy, Suburban; 1955 Dodge car V8 all models</li>
</ul>
<p><strong>Upgrade your engine today</strong> with our high-quality head gasket and enjoy a smooth, efficient driving experience. <a href='#'>Order now!</a></p>",,
task-4,,,,"1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Premium Head Gasket for ... - Fits Multiple Models', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long","{'meta_title': 'Premium Head Gasket for Classic Engines - Fits Multiple Models', 'meta_description': ""Ensure your engine's longevity with our durable head gasket, fitting a wide range of classic cars from 1956-66. Perfect for restoration projects."", 'product_description': ""<h2>Revitalize Your Classic Car's Engine</h2>\n<p>Bring your classic car back to its former glory with our premium head gasket, specifically designed for a wide range of engines from 1956 to 1966. Perfect for enthusiasts and professionals alike, this head gasket ensures a perfect fit and superior performance for your restoration project.</p>\n<ul>\n<li>Fits 1956 Plymouth 277 and 1957-66 models with 301, 303, 313, 318, or 326 engines</li>\n<li>Compatible with 1956-58 Dodge Poly V8 engines and 1959-66 models</li>\n<li>Exclusive choice for 1957 DeSoto FIRESWEEP</li>\n<li>Each engine requires two head gaskets - priced per gasket for convenience</li>\n</ul>\n<h3>Technical Specifications</h3>\n<ul>\n<li>SKU: LV8-817</li>\n<li>MPN: 579G</li>\n<li>Product Type: Head Gasket</li>\n</ul>\n<p><strong>Don't miss out on the opportunity to enhance your classic car's engine performance. <a href='#'>Buy now</a> and take the first step towards a flawless restoration.</strong></p>""}"
task-5,Premium Head Gasket for 1956-58 Dodge & Plymouth - $48.5,"Ensure your engine's peak performance with our high-quality Head Gasket for specific 1956-58 Dodge & Plymouth models. Durable, reliable, must-have.","<p>Upgrade your vehicle's engine performance with our <strong>Premium Head Gasket</strong>, specifically designed for select <strong>1956-58 Dodge and Plymouth</strong> models. Engineered for durability and reliability, our head gasket is the ideal choice for your engine maintenance or rebuild projects.</p>
<ul>
<li>Perfect fit for <strong>1956 Plymouth 270</strong> (excludes 277) and <strong>1956-58 Dodge Hemi models</strong>.</li>
<li>Priced per gasket, note that each engine requires two head gaskets for a complete replacement.</li>
</ul>
<p><strong>Specifications:</strong></p>
<ul>
<li>SKU: LV8-818</li>
<li>MPN: 580G</li>
<li>Product Type: Head Gasket</li>
</ul>
<p>Compatible with a range of vehicles, including <strong>1956 Dodge Coronet, Custom, Lancer, Royal, Sierra</strong>, and more.</p>
<p><strong>Don't compromise on quality</strong> - ensure your engine runs smoothly with our high-quality head gasket. <a href='#'>Order now</a> and get your engine back to its optimal performance!</p>",,
task-6,Premium Head Gasket for Chrysler Windsor & Saratoga 1955-58,"Ensure your engine's peak performance with our durable head gasket fitting Chrysler Windsor & Saratoga 1955-58. Perfect seal, unmatched quality.","<h1>High-Quality Head Gasket for Chrysler Windsor & Saratoga 1955-58</h1>
<p>Maximize the performance and longevity of your engine with our top-tier head gasket, designed exclusively for Chrysler Windsor and Saratoga models from 1955 to 1958. Crafted with precision to ensure a perfect seal and superior durability, this head gasket is the ideal choice for your classic Chrysler vehicle.</p>
<ul>
<li>Specifically fits 1955-57 Chrysler Windsor, 1958 Chrysler Windsor 3852, and 1958 Chrysler Saratoga.</li>
<li>Each engine requires two head gaskets - price listed per gasket for easy ordering.</li>
<li>Engineered for durability and perfect sealing to prevent leaks and enhance performance.</li>
</ul>
<h2>Technical Specifications</h2>
<ul>
<li>SKU: LV8-819</li>
<li>MPN: 736SA</li>
<li>Product Type: Head Gasket</li>
<li>Compatibility: Fits 1955-58 Chrysler Windsor & Saratoga models, plus more.</li>
</ul>
<p><strong>Don't compromise on quality.</strong> Ensure your vehicle's engine operates at its best with our premium head gasket. <a href='#'>Order now</a> to take the first step towards optimal engine performance.</p>",,
task-7,,,,"1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Premium Oil Pan Gasket S...r & Imperial V8 1951-54', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long","{'meta_title': 'Premium Oil Pan Gasket Set for Chrysler & Imperial V8 1951-54', 'meta_description': ""Ensure your engine's longevity with our Oil Pan Gasket Set for 1951-54 Chrysler & Imperial V8 models. High-quality, made in the USA. Fits perfectly."", 'product_description': ""<p>Keep your engine protected and maintain its performance with our <strong>Premium Oil Pan Gasket Set</strong>, specifically designed for all 1951-54 Chrysler &amp; Imperial V8 models. Manufactured with precision in the USA, this gasket set offers a perfect fit and superior durability.</p>\n<ul>\n<li>Designed to fit all 1951-54 Chrysler &amp; Imperial V8 models</li>\n<li>Manufactured in the USA for unmatched quality</li>\n<li>Ensures a leak-free seal between the engine block and oil pan</li>\n<li>Easy to install, providing a hassle-free replacement</li>\n</ul>\n<p><strong>Specifications:</strong></p>\n<ul>\n<li>SKU: LV8-820</li>\n<li>MPN: 22046E</li>\n<li>Product Type: Oil Pan Gasket Set</li>\n</ul>\n<p>Compatible with a wide range of vehicles including 1951_Chrysler_Imperial, 1951_Chrysler_New Yorker, 1951_Chrysler_Saratoga, 1952_Chrysler_Imperial, 1952_Chrysler_New Yorker, and more. Ensure your vehicle’s engine integrity and performance with this essential component.</p>\n<p><a href='#'>Buy now</a> to give your engine the protection it deserves.</p>""}"
task-8,,,,"1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='DeSoto Oil Pan Gasket Se...gh-Quality Reproduction', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long","{'meta_title': 'DeSoto Oil Pan Gasket Set 1952-57 - High-Quality Reproduction', 'meta_description': 'Get the perfect fit for your 1952-57 DeSoto engine with our reproduction oil pan gasket set. Made in the USA for precision and durability. Shop now!', 'product_description': ""<h2>Keep Your Engine Sealed with Our Oil Pan Gasket Set</h2>\n<p>Ensure a perfect seal and prevent oil leaks in your classic DeSoto with our reproduction Oil Pan Gasket Set. Designed specifically for 1952-57 models, excluding the 1957 Firesweep, this gasket set offers an exact fit and superior quality, all made in the USA.</p>\n<ul>\n<li>Exact reproduction fitting all 1952-57 DeSoto models, excluding 1957 Firesweep.</li>\n<li>Made in the USA for unmatched quality and precision.</li>\n<li>Perfect for restoration projects and engine maintenance.</li>\n<li>Easy to install with a flawless fit.</li>\n</ul>\n<h3>Technical Specifications</h3>\n<ul>\n<li>SKU: LV8-821</li>\n<li>MPN: 21051</li>\n<li>Product Type: Oil Pan Gasket Set</li>\n<li>Price: $24.5</li>\n</ul>\n<h3>Vehicle Compatibility</h3>\n<p>Compatible with a broad range of 1952-57 DeSoto vehicles, including the Firedome and Fireflite models. This set ensures your classic car maintains its integrity and performance.</p>\n<a href='#' style='color: #007bff; text-decoration: none; font-weight: bold;'>Add to Cart</a> to seal the deal on your engine's longevity and performance!""}"
task-9,Premium Oil Pan Gasket Set for Classic Dodge & Plymouth,"Get the perfect fit for your classic car with our Oil Pan Gasket Set. Designed for 1956-1958 Dodge, Plymouth, Desoto with 270, 315, 326 c.i.d engines.","<h2>Restore Your Engine's Performance with Our Oil Pan Gasket Set</h2>
<p>Bring your classic Dodge, Plymouth, or Desoto engine back to its former glory with our premium Oil Pan Gasket Set. Specifically designed for the 270, 315, 326 c.i.d Poly engines of 1956-1958 models, this reproduction gasket set ensures a perfect fit and optimal sealing to prevent oil leaks and maintain engine efficiency.</p>
<ul>
<li>Perfect reproduction fit for <strong>1956-1958 Dodge, Plymouth, Desoto</strong> models.</li>
<li>Compatible with <strong>270, 315, 326 c.i.d Poly engines</strong>.</li>
<li>Comprehensive vehicle compatibility, including the 1953 Dodge Coronet, Meadowbrook, 1954 Dodge Royal, and more.</li>
<li>SKU: LV8-822, MPN: 21010, ensuring you receive the exact product for your vehicle's needs.</li>
</ul>
<h3>Technical Specifications</h3>
<p>Product Type: Oil Pan Gasket Set<br>SKU: LV8-822<br>MPN: 21010</p>
<p><strong>Don't let oil leaks slow you down.</strong> Upgrade your classic car with our Oil Pan Gasket Set today and ensure your engine runs smoothly for years to come. <a href='#'>Order Now!</a></p>",,
task-10,,,,"2 validation errors for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Oil Pan Gasket Set for C...l 1955-58 | Made in USA', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long
meta_description
  String should have at most 160 characters [type=string_too_long, input_value='Seal your engine right w...w for peak performance!', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long","{'meta_title': 'Oil Pan Gasket Set for Chrysler & Imperial 1955-58 | Made in USA', 'meta_description': 'Seal your engine right with our Oil Pan Gasket Set for 1955-58 Chrysler & Imperial models. Durable, precise fit & made in the USA. Shop now for peak performance!', 'product_description': ""<p>Ensure your engine's longevity and efficiency with our high-quality <strong>Oil Pan Gasket Set</strong>, specifically designed for <strong>1955-58 Chrysler and Imperial models</strong>. Manufactured in the USA, this gasket set provides a perfect seal to prevent oil leaks, ensuring your engine runs smoothly for years to come.</p>\n<ul>\n<li><strong>Exact Fit</strong> for 1955-58 Chrysler all models, including 300, New Yorker, and Windsor, plus Imperial all models.</li>\n<li><strong>High-Quality Construction</strong> ensures durability and a long-lasting seal.</li>\n<li><strong>Made in the USA</strong> for guaranteed quality and reliability.</li>\n</ul>\n<p><strong>Technical Specifications:</strong></p>\n<ul>\n<li>SKU: LV8-823</li>\n<li>MPN: 22047E</li>\n<li>Product Type: Oil Pan Gasket Set</li>\n</ul>\n<p>Compatible with over 18 vintage Chrysler and Imperial vehicles, this gasket set is the ideal choice for car enthusiasts and professional mechanics alike. Don't compromise on quality – choose our Oil Pan Gasket Set for your restoration project or maintenance needs.</p>\n<p><a href='#'>Buy Now</a> to ensure your engine's peak performance with our premium Oil Pan Gasket Set!</p>""}"
