Title,Body HTML,Vendor,Tags,Variant SKU,Variant Price,Variant Cost,Variant Barcode,Command,Image Src,Image Command,Image Position,Image Alt Text,Metafield: title_tag [string],Metafield: description_tag [string],Collection,Product Type
Accelerator Pedal Pad,"Pad, accelerator pedal. Cements and fastens with screws to original metal pedal. Length: 6.50 inches.",Steele,1928_Stutz_Stutz,10-0001-40,75.49,43.76,,MERGE,,MERGE,1,Accelerator Pedal Pad,Accelerator Pedal Pad,Quality automotive Accelerator Pedal Pad.,Accessories,Automotive Part
Accelerator Pedal Pad,"Pad, accelerator pedal. Cements and fastens with screws to original metal pedal. Length: 6.50 inches.",Steele,1929_Stutz_Stutz,10-0001-40,75.49,43.76,,MERGE,,MERGE,1,Accelerator Pedal Pad,Accelerator Pedal Pad,Quality automotive Accelerator Pedal Pad.,Accessories,Automotive Part
Accelerator Pedal Pad,"Pad, accelerator pedal. Cements and fastens with screws to original metal pedal. Length: 6.50 inches.",Steele,1930_Stutz_Stutz,10-0001-40,75.49,43.76,,MERGE,,MERGE,1,Accelerator Pedal Pad,Accelerator Pedal Pad,Quality automotive Accelerator Pedal Pad.,Accessories,Automotive Part
Accelerator Pedal Pad,"Pad, accelerator pedal. Cements and fastens with screws to original metal pedal. Length: 6.50 inches.",Steele,1931_Stutz_Stutz,10-0001-40,75.49,43.76,,MERGE,,MERGE,1,Accelerator Pedal Pad,Accelerator Pedal Pad,Quality automotive Accelerator Pedal Pad.,Accessories,Automotive Part
Accelerator Pedal Pad,"Pad, accelerator pedal. Cements and fastens with screws to original metal pedal. Length: 6.50 inches.",Steele,1932_Stutz_Stutz,10-0001-40,75.49,43.76,,MERGE,,MERGE,1,Accelerator Pedal Pad,Accelerator Pedal Pad,Quality automotive Accelerator Pedal Pad.,Accessories,Automotive Part
Axle Rebound Pad,"Pad, front axle rebound, including bolt hole. Excellent copy, highest grade material. Width: 2.25 inches. Height: 1.50 inches.",Steele,1930_Stutz_Stutz,10-0002-35,127.79,81.97,,MERGE,,MERGE,1,Axle Rebound Pad,Axle Rebound Pad,Quality automotive Axle Rebound Pad.,Accessories,Automotive Part
Axle Rebound Pad,"Pad, front axle rebound, including bolt hole. Excellent copy, highest grade material. Width: 2.25 inches. Height: 1.50 inches.",Steele,1931_Stutz_Stutz,10-0002-35,127.79,81.97,,MERGE,,MERGE,1,Axle Rebound Pad,Axle Rebound Pad,Quality automotive Axle Rebound Pad.,Accessories,Automotive Part
Axle Rebound Pad,"Pad, front axle rebound, including bolt hole. Excellent copy, highest grade material. Width: 2.25 inches. Height: 1.50 inches.",Steele,1932_Stutz_Stutz,10-0002-35,127.79,81.97,,MERGE,,MERGE,1,Axle Rebound Pad,Axle Rebound Pad,Quality automotive Axle Rebound Pad.,Accessories,Automotive Part
Axle Rebound Pad,"Pad, front axle rebound, including bolt hole. Excellent copy, highest grade material. Width: 2.25 inches. Height: 1.50 inches.",Steele,1933_Stutz_Stutz,10-0002-35,127.79,81.97,,MERGE,,MERGE,1,Axle Rebound Pad,Axle Rebound Pad,Quality automotive Axle Rebound Pad.,Accessories,Automotive Part
Axle Rebound Pad Service,"Pad, rear axle rebound, perfect duplication. Length: 4.0 inches. Height: 1.25 inches.",Steele,1930_Stutz_Stutz,10-0003-35,132.49,84.5,,MERGE,,MERGE,1,Axle Rebound Pad Service,Axle Rebound Pad Service,Quality automotive Axle Rebound Pad Service.,Accessories,Automotive Part
Axle Rebound Pad Service,"Pad, rear axle rebound, perfect duplication. Length: 4.0 inches. Height: 1.25 inches.",Steele,1931_Stutz_Stutz,10-0003-35,132.49,84.5,,MERGE,,MERGE,1,Axle Rebound Pad Service,Axle Rebound Pad Service,Quality automotive Axle Rebound Pad Service.,Accessories,Automotive Part
Axle Rebound Pad Service,"Pad, rear axle rebound, perfect duplication. Length: 4.0 inches. Height: 1.25 inches.",Steele,1932_Stutz_Stutz,10-0003-35,132.49,84.5,,MERGE,,MERGE,1,Axle Rebound Pad Service,Axle Rebound Pad Service,Quality automotive Axle Rebound Pad Service.,Accessories,Automotive Part
Axle Rebound Pad Service,"Pad, rear axle rebound, perfect duplication. Length: 4.0 inches. Height: 1.25 inches.",Steele,1933_Stutz_Stutz,10-0003-35,132.49,84.5,,MERGE,,MERGE,1,Axle Rebound Pad Service,Axle Rebound Pad Service,Quality automotive Axle Rebound Pad Service.,Accessories,Automotive Part
Fuel tank cover,"Cover, rear apron over fuel tank. 3-1/2-inch diameter hollow cup to cover hole above fuel gauge sending unit.",Steele,1930_Durant_Model_6-14,10-0010-44,85.99,50.35,,MERGE,,MERGE,1,Fuel tank cover,Fuel tank cover,Quality automotive Fuel tank cover.,Accessories,Automotive Part
Fuel tank cover,"Cover, rear apron over fuel tank. 3-1/2-inch diameter hollow cup to cover hole above fuel gauge sending unit.",Steele,1930_Durant_Model_6-14,10-0010-44,85.99,50.35,,MERGE,,MERGE,1,Fuel tank cover,Fuel tank cover,Quality automotive Fuel tank cover.,Accessories,Automotive Part
Fuel tank cover,"Cover, rear apron over fuel tank. 3-1/2-inch diameter hollow cup to cover hole above fuel gauge sending unit.",Steele,1930_Durant_Model_6-14,10-0010-44,85.99,50.35,,MERGE,,MERGE,1,Fuel tank cover,Fuel tank cover,Quality automotive Fuel tank cover.,Accessories,Automotive Part
Fuel tank cover,"Cover, rear apron over fuel tank. 3-1/2-inch diameter hollow cup to cover hole above fuel gauge sending unit.",Steele,1930_Durant_Model_6-14,10-0010-44,85.99,50.35,,MERGE,,MERGE,1,Fuel tank cover,Fuel tank cover,Quality automotive Fuel tank cover.,Accessories,Automotive Part
Fuel tank cover,"Cover, rear apron over fuel tank. 3-1/2-inch diameter hollow cup to cover hole above fuel gauge sending unit.",Steele,1930_Durant_Model_6-17,10-0010-44,85.99,50.35,,MERGE,,MERGE,1,Fuel tank cover,Fuel tank cover,Quality automotive Fuel tank cover.,Accessories,Automotive Part
Fuel tank cover,"Cover, rear apron over fuel tank. 3-1/2-inch diameter hollow cup to cover hole above fuel gauge sending unit.",Steele,1930_Durant_Model_6-17,10-0010-44,85.99,50.35,,MERGE,,MERGE,1,Fuel tank cover,Fuel tank cover,Quality automotive Fuel tank cover.,Accessories,Automotive Part
Fuel tank cover,"Cover, rear apron over fuel tank. 3-1/2-inch diameter hollow cup to cover hole above fuel gauge sending unit.",Steele,1929_Chrysler_Series_65,10-0010-44,85.99,50.35,,MERGE,,MERGE,1,Fuel tank cover,Fuel tank cover - 1929 Chrysler Series 65,Quality Fuel tank cover for 1929 Chrysler Series 65 vehicles. OEM replacement part.,Accessories,Automotive Part
